Insertion sort
27 10 34
28 10 46
29 10 33
30 10 44
1138


Quick sort best case
1 10 32
2 10 32
3 10 32
4 10 32
5 10 32
6 10 32
7 10 32
8 10 32
9 10 32
10 10 32
11 10 32
12 10 32
13 10 32
14 10 32
15 10 32
16 10 32
17 10 32
18 10 32
19 10 32
20 10 32
21 10 32
22 10 32
23 10 32
24 10 32
25 10 32
26 10 32
27 10 32
28 10 32
29 10 32
30 10 32
960

1 100 607
2 100 607
3 100 607
4 100 607
5 100 607
6 100 607
7 100 607
8 100 607
9 100 607
10 100 607
11 100 607
12 100 607
13 100 607
14 100 607
15 100 607
16 100 607
17 100 607
18 100 607
19 100 607
20 100 607
21 100 607
22 100 607
23 100 607
24 100 607
25 100 607
26 100 607
27 100 607
28 100 607
29 100 607
30 100 607
18210

1 1000 9010
2 1000 9010
3 1000 9010
4 1000 9010
5 1000 9010
6 1000 9010
7 1000 9010
8 1000 9010
9 1000 9010
10 1000 9010
11 1000 9010
12 1000 9010
13 1000 9010
14 1000 9010
15 1000 9010
16 1000 9010
17 1000 9010
18 1000 9010
19 1000 9010
20 1000 9010
21 1000 9010
22 1000 9010
23 1000 9010
24 1000 9010
25 1000 9010
26 1000 9010
27 1000 9010
28 1000 9010
29 1000 9010
30 1000 9010
270300

1 10000 125440
2 10000 125440
3 10000 125440
4 10000 125440
5 10000 125440
6 10000 125440
7 10000 125440
8 10000 125440
9 10000 125440
10 10000 125440
11 10000 125440
12 10000 125440
13 10000 125440
14 10000 125440
15 10000 125440
16 10000 125440
17 10000 125440
18 10000 125440
19 10000 125440
20 10000 125440
21 10000 125440
22 10000 125440
23 10000 125440
24 10000 125440
25 10000 125440
26 10000 125440
27 10000 125440
28 10000 125440
29 10000 125440
30 10000 125440
3763200

1 100000 1600017
2 100000 1600017
3 100000 1600017
4 100000 1600017
5 100000 1600017
6 100000 1600017
7 100000 1600017
8 100000 1600017
9 100000 1600017
10 100000 1600017
11 100000 1600017
12 100000 1600017
13 100000 1600017
14 100000 1600017
15 100000 1600017
16 100000 1600017
17 100000 1600017
18 100000 1600017
19 100000 1600017
20 100000 1600017
21 100000 1600017
22 100000 1600017
23 100000 1600017
24 100000 1600017
25 100000 1600017
26 100000 1600017
27 100000 1600017
28 100000 1600017
29 100000 1600017
30 100000 1600017
48000510


Quick sort worst case
1 10 64
2 10 64
3 10 64
4 10 64
5 10 64
6 10 64
7 10 64
8 10 64
9 10 64
10 10 64
11 10 64
12 10 64
13 10 64
14 10 64
15 10 64
16 10 64
17 10 64
18 10 64
19 10 64
20 10 64
21 10 64
22 10 64
23 10 64
24 10 64
25 10 64
26 10 64
27 10 64
28 10 64
29 10 64
30 10 64
1920

1 100 5149
2 100 5149
3 100 5149
4 100 5149
5 100 5149
6 100 5149
7 100 5149
8 100 5149
9 100 5149
10 100 5149
11 100 5149
12 100 5149
13 100 5149
14 100 5149
15 100 5149
16 100 5149
17 100 5149
18 100 5149
19 100 5149
20 100 5149
21 100 5149
22 100 5149
23 100 5149
24 100 5149
25 100 5149
26 100 5149
27 100 5149
28 100 5149
29 100 5149
30 100 5149
154470

1 1000 501499
2 1000 501499
3 1000 501499
4 1000 501499
5 1000 501499
6 1000 501499
7 1000 501499
8 1000 501499
9 1000 501499
10 1000 501499
11 1000 501499
12 1000 501499
13 1000 501499
14 1000 501499
15 1000 501499
16 1000 501499
17 1000 501499
18 1000 501499
19 1000 501499
20 1000 501499
21 1000 501499
22 1000 501499
23 1000 501499
24 1000 501499
25 1000 501499
26 1000 501499
27 1000 501499
28 1000 501499
29 1000 501499
30 1000 501499
15044970

30 10000 stack overflow

30 100000 stack overflow

